wikidata_code,response
Q543603,"Núria Espert is a renowned Spanish actress and theater director. She is widely recognized for her significant contributions to the world of theater, both in Spain and internationally. Espert has had a prolific career spanning several decades, and she has been involved"
Q87951,"Maria Perschy was an Austrian actress known for her work in both European and American films. She was born on September 25, 1938, in Vienna, Austria. Perschy began her acting career in the 195"
Q6983534,"As of my last update in October 2023, there isn't a widely recognized public figure named Nazneen Contractor. It's possible that she might be a private individual, a local figure, or someone who has gained prominence after"
Q5416168,"Eve Harlow is a Canadian actress known for her roles in various television shows and films. She was born on November 30, 1992, in Montreal, Quebec, Canada. Harlow gained prominence for her role as K"
Q4241219,"As of my last update in October 2023, there isn't a widely recognized public figure named Chrystabell. It's possible that she could be a private individual, someone who has gained prominence more recently, or perhaps there is a"
Q511926,"As of my last update in October 2023, there isn't a widely recognized public figure named Margaret Field. It's possible that she could be a private individual, someone who has gained prominence after my last update, or someone known in"
Q32709,"Fran Lebowitz is an American author and public speaker known for her wit, sarcasm, and social commentary. She was born on October 27, 1951, in Morristown, New Jersey. Lebowitz gained prominence in"
Q297954,"As of my last update in October 2023, there isn't a widely recognized public figure named Linda Zilliacus. It's possible that she could be a private individual, someone who has gained prominence more recently, or someone known"
Q446214,"As of my last update in October 2023, there is no widely recognized public figure or notable individual by the name of J. Madison Wright Morris. It's possible that the name could refer to someone who is not widely known, or"
Q443454,"As of my last update in October 2023, there isn't a widely recognized public figure named Lara Wendel. It's possible that she could be a private individual, someone who has gained prominence after my last update, or someone known"
Q535274,"As of my last update in October 2023, there isn't widely recognized public information about a person named Magdalena Boczarska. It's possible that she could be a private individual, someone who has gained prominence more recently, or someone"
Q2723530,"As of my last update in October 2023, there is no widely recognized public figure named ""Teji Bachchan."" It's possible that the name might refer to a private individual or someone who has not gained significant public attention. If"
Q4765619,"As of my last update in October 2023, there isn't a widely recognized public figure named Anita Raj. It's possible that she could be a private individual, someone who has gained prominence after my last update, or someone known in"
Q1152388,"As of my last update in October 2023, there isn't a widely recognized public figure named Leire Martínez. It's possible that she could be a private individual, someone who has gained prominence more recently, or someone known in a"
Q435807,"As of my last update in October 2023, Tayla Parx is an American singer, songwriter, and record producer. She is known for her work in the music industry, particularly for her collaborations with other artists and her own solo"
Q466523,"Katarina Taikon (1932-1995) was a Swedish Romani (Gypsy) activist, author, and actress. She is known for her significant contributions to the rights and recognition of the Romani people in Sweden."
Q458156,"Mademoiselle Mars, whose real name was Anne Françoise Hyppolite Boursault, was a renowned French actress of the 18th and 19th centuries. She was born on February 9, 1778, and"
Q223577,"As of my last update in October 2023, there is no widely recognized public figure or notable individual named Namgyal Lhamo in mainstream media or historical records. It's possible that Namgyal Lhamo could be a"
Q1827333,"As of my last update in October 2023, there isn't widely recognized public information about a person named Shatha Hassoun. It's possible that she could be a private individual, someone who has gained prominence more recently, or someone"
Q5277861,"Dina Pathak was a prominent Indian actress known for her work in Hindi and Gujarati cinema, as well as in Indian television. She was born on March 4, 1942, in Amreli, Gujarat, and passed"
Q255842,"As of my last update in October 2023, there isn't a widely recognized public figure named Mary Carr who stands out in mainstream media, literature, or popular culture. It's possible that Mary Carr could be a name of someone who"
Q3051021,"As of my last update in October 2023, there isn't widely recognized public information about an individual named Elina Salo. It's possible that she could be a private individual, someone who has gained prominence more recently, or someone"
Q73566,"As of my last update in October 2023, Niamh Wilson is a Canadian actress known for her work in film and television. She has appeared in several notable productions, including:

1. **""The Twilight Saga: Breaking Dawn"
Q4299108,"As of my last update in October 2023, there isn't widely recognized public information about a person named Natalia Mohylevska. It's possible that she could be a private individual, someone who has gained prominence more recently, or"
Q450422,"Tujiko Noriko is a Japanese electronic musician and producer. She is known for her unique and experimental approach to music, often incorporating elements of noise, ambient, and electronic genres. Her work is characterized by its atmospheric and sometimes dissonant qualities"
Q3569200,"Wilma Stockenström is a South African writer known for her contributions to Afrikaans literature. She was born on October 23, 1933, in Cape Town. Stockenström is particularly renowned for her novel ""Die K"
Q3501477,"As of my last update in October 2023, Lucija Šerbedžija is a Croatian actress. She is known for her roles in various films and television series. One of her notable performances is in the film ""The L"
Q9046864,"As of my last update in October 2023, there isn't a widely recognized public figure named Mitsuki Takahata. It's possible that Mitsuki Takahata could be a private individual, a lesser-known figure in a specific field,"
Q528853,"As of my last update in October 2023, there isn't widely recognized public information about a person named Dana Ivgy. It's possible that she could be a private individual, someone who has gained prominence more recently, or someone whose"
Q3675737,"As of my last update in October 2023, there isn't a widely recognized public figure named Christie Burke. It's possible that she could be a private individual, someone in a niche field, or a character from a book, movie"
Q3031635,"As of my last update in October 2023, there isn't a widely recognized public figure named Nadine Garner. It's possible that she could be a private individual, someone who has gained prominence more recently, or someone known in"
Q442512,"Angélica Liddell is a prominent Spanish playwright, director, and performer known for her avant-garde and provocative work in contemporary theater. Born in 1966 in Figueras, Spain, she has gained international recognition for her unique"
Q299557,"As of my last update in October 2023, there are several individuals named Heather Mitchell, and without additional context, it's challenging to determine which one you might be referring to. Here are a few notable individuals with that name:

1"
Q3150064,"As of my last update in October 2023, there isn't widely recognized public information about an individual named India Ennenga. It's possible that she may not be a well-known public figure, or her prominence may have arisen after"
Q2850389,"As of my last update in October 2023, there isn't widely recognized public information about an individual named Ann Hearn. It's possible that she could be a private individual, someone with a niche or local presence, or someone who"
Q1052483,"As of my last update in October 2023, there isn't a widely recognized public figure named Nana Yamada. It's possible that she could be a private individual, a local figure, or someone who has gained prominence after my last"
Q3161577,"As of my last update in October 2023, there isn't widely recognized public information about a person named Jamileh Sheykhi. It's possible that she is a private individual, or her prominence might be in a specific field"
Q7494934,"Sherie Rene Scott is an American actress, singer, and playwright. She is known for her work in both theater and television. Here are a few key points about her:

1. **Theater**: Scott has had a successful career on Broadway."
Q2323911,"As of my last update in October 2023, there isn't a widely recognized public figure named Yuko Kobayashi. It's possible that Yuko Kobayashi could be a private individual, a lesser-known figure in a specific field, or someone"
Q324066,"Amalia von Königsmarck was a Swedish countess and a notable figure in the history of Sweden and Germany during the late 17th and early 18th centuries. She was born on August 20, 166"
Q536113,"As of my last update in October 2023, there isn't a widely recognized public figure named Myriam Bru. It's possible that she could be a private individual, someone who has gained prominence more recently, or someone known in a"
Q515860,"As of my last update in October 2023, there isn't a widely recognized public figure named Nikki Charm. It's possible that she could be a private individual, a local figure, or someone who has gained prominence after my last"
Q2115737,"As of my last update in October 2023, there is no widely recognized public figure named Mieczysława Ćwiklińska. It's possible that she could be a private individual, someone known in a specific local or"
Q513272,"As of my last update in October 2023, there isn't a widely recognized public figure named Natalya Sedykh. It's possible that she could be a private individual, someone who has gained prominence after my last update, or"
Q109505,"Käthe Dorsch (1900-1992) was a prominent German actress, known for her work in both theater and film. She was born in Berlin and began her acting career in the 1920s"
Q435357,"As of my last update in October 2023, there is no widely recognized public figure or notable individual named Anna Catharina Materna. It's possible that she could be a private individual, someone who has gained prominence after my last update"
Q3357429,"As of my last update in October 2023, there isn't a widely recognized public figure named Pia Johansson. It's possible that she could be a private individual, someone who has gained prominence more recently, or someone known in a specific"
Q2834991,"As of my last update in October 2023, there is no widely recognized public figure or notable individual known by the name ""Desa Muck."" It's possible that ""Desa Muck"" could be a pseudonym, a character"
Q274868,"As of my last update in October 2023, there isn't a widely recognized public figure named Olive Carey. It's possible that she might be a private individual, a local figure, or someone who has gained prominence after my last update"
Q3347878,"Oana Pellea is a renowned Romanian actress. She is known for her extensive work in theater, film, and television. Born on January 23, 1949, in Bucharest, Romania, Pellea has had a prolific career"
Q3313825,"Mila Parély was a French actress known for her work in French cinema during the 1930s and 1940s. She was born on January 1, 1917, in Paris, France."
Q3427867,"As of my last update in October 2023, there is no widely recognized public figure named Viveka Seldahl. It's possible that she could be a private individual, someone who has gained prominence more recently, or someone known in"
Q444867,"As of my last update in October 2023, there is no widely recognized public figure named Mary Hayley Bell. It's possible that she could be a private individual, someone who has gained prominence after my last update, or there might"
Q3216899,"As of my last update in October 2023, there isn't a widely recognized public figure named Lana Marconi. It's possible that she could be a private individual, a local figure, or someone who has gained prominence after my last"
Q246033,"As of my last update in October 2023, there is no widely recognized public figure or notable individual named Lisa Lois. It's possible that Lisa Lois could be a private individual, a character in a book or movie, or someone who"
Q2842666,"As of my last update in October 2023, there isn't widely recognized public information about an individual named Amelia Shankley. It's possible that she could be a private individual, someone who has gained prominence more recently, or someone whose"
Q3700213,"As of my last update in October 2023, there isn't a widely recognized public figure named Nicki Micheaux. It's possible that she could be a private individual, someone who has gained prominence more recently, or someone known in"
Q20005621,"As of my last update in October 2023, there is no widely recognized public figure named Margalida Caimari Vila. It's possible that she could be a private individual, someone who has gained prominence after my last update,"
Q2063526,"As of my last update in October 2023, there is no widely recognized public figure or notable individual named Velta Līne. It's possible that she could be a private individual, someone who has gained prominence after my last update"
Q24360675,"Alexi Pappas is a Greek-American athlete, writer, and filmmaker. She is known for several notable achievements:

1. **Athletics**: Pappas competed in the 2016 Summer Olympics in Rio de Janeiro, Brazil"
Q5982067,"Luciana Echeverría is a Chilean television presenter, model, and actress. She is known for her work in various television programs, particularly in Chile. Some of her notable roles include hosting reality shows and participating in entertainment programs. Luciana has"
Q1656477,"As of my last update in October 2023, there isn't a widely recognized singer named ""Ida"" who has gained significant global fame or recognition. It's possible that Ida could be a local or emerging artist, or there might"
Q558801,"As of my last update in October 2023, there isn't a widely recognized public figure named Ann Turkel. It's possible that she could be a private individual, someone with a niche or local presence, or a name that has"
Q16269992,"As of my last update in October 2023, there isn't a widely recognized public figure named Kathleen O'Malley who stands out in mainstream media or notable public roles. It's possible that she could be a local figure, a"
Q1619374,"Rebecca Wells is an American author and playwright known for her novels that often explore themes of family, identity, and the complexities of human relationships. She is perhaps best known for her novel ""Divine Secrets of the Ya-Ya Sisterhood,"""
Q4990897,"As of my last update in October 2023, there is no widely recognized public figure or notable individual named Tollie Zellman. It's possible that the name could refer to someone who is not well-known publicly, or it might"
Q534905,Minou Drouet is a French poet and writer who gained significant attention in the 1950s. She was born in 1947 and became famous at a very young age. Drouet's first book of poetry
Q540297,"Vijaya Mehta is a prominent Indian theater director, actor, and playwright. She is widely recognized for her significant contributions to Indian theater, particularly in the realm of experimental and modern theater. Here are some key points about her:

1. **"
Q87505,"Ida Ehre (1929-2022) was a prominent German actress, director, and theater manager. She was known for her significant contributions to the German theater scene, particularly in Hamburg. Here are a few key points"
Q106035,"Helke Sander is a prominent German filmmaker, feminist activist, and writer. She is known for her significant contributions to feminist film theory and her influential work in the New German Cinema movement. Some of her most notable films include:

1. **""Die"
Q98216,"As of my last update in October 2023, there is no widely recognized public figure or notable individual named Suzanna von Nathusius. It's possible that she could be a private individual, a local figure, or someone who has"
Q97720,"Camilla Spira is a British actress known for her work in film, television, and theater. She was born on April 3, 1988, in London, England. Spira is the daughter of the late actor John Sp"
Q6809838,"As of my last update in October 2023, there isn't widely recognized public information about a person named Mehreen Raheel. It's possible that she could be a private individual, someone who has gained prominence more recently, or someone"
Q15627968,"As of my last update in October 2023, there is no widely recognized public figure named Rose Fostanes. It's possible that she could be a private individual, someone who has gained prominence after my last update, or perhaps there"
Q698857,Connie Chan Bo-chi (born 1948) is a Hong Kong actress known for her work in the Shaw Brothers Studio's films during the 1960s and 1970s. She is particularly famous
Q79178,"As of my last update in October 2023, there is no widely recognized public figure named Grete Wiesenthal. It's possible that she might be a private individual, a local figure, or someone who has gained prominence after my last"
Q4922257,"As of my last update in October 2023, there isn't widely recognized public information about a person named Joanne Missingham. It's possible that she could be a private individual, someone with a niche or local presence, or a"
Q4701570,"As of my last update in October 2023, there is no widely recognized public figure or notable individual named Akoya Sogi. It's possible that Akoya Sogi could be a lesser-known individual, a character in a work of"
Q1922853,"Rino Nakasone is a Japanese-American choreographer known for her work in various forms of dance, including hip-hop, contemporary, and commercial dance. She has gained significant recognition for her contributions to the dance industry, particularly in the realm of music videos"
Q4940969,"Pauline Brunius (1881-1954) was a prominent Swedish actress, director, and theater manager. She is best known for her significant contributions to Swedish theater and cinema. Here are a few key points about her:

"
Q4805432,"Ashley Fiolek is an American professional motocross racer who is known for being deaf. She was born on July 25, 1993, in Lake Wales, Florida. Despite her hearing impairment, Fiolek has"
Q450256,"As of my last update in October 2023, there isn't a widely recognized public figure named Emily Hirst. It's possible that she could be a private individual, someone who has gained prominence more recently, or someone known in a"
Q460554,"As of my last update in October 2023, there isn't widely recognized public information about a person named Maria Langhammer. It's possible that she could be a private individual, someone who has gained prominence in a specific niche or local"
Q462020,"Reham Abdel Ghafour is an Egyptian journalist, television presenter, and political analyst. She is known for her work in both Arabic and English media. Here are a few key points about her:

1. **Early Career**: Abdel Ghafour"
Q12431562,"The name ""Tabassum"" is of Arabic origin and means ""smile."" It is a common name in many countries, particularly in the Middle East, South Asia, and other regions with significant Muslim populations. Without additional context, it's difficult"
Q3499706,"As of my last update in October 2023, there isn't a widely recognized singer known by the stage name ""Stone."" It's possible that the name could refer to a lesser-known artist, a local performer, or someone who has"
Q14866655,"As of my last update in October 2023, there isn't a widely recognized public figure named Madiha Shah. It's possible that she could be a private individual, someone who has gained prominence more recently, or someone known in"
Q3474471,"As of my last update in October 2023, there isn't a widely recognized public figure named Savannah Haske. It's possible that she could be a private individual, someone who has gained prominence after my last update, or someone known"
Q3479149,"As of my last update in October 2023, there isn't a widely recognized public figure named Serena Evans. It's possible that she could be a private individual, a local figure, or someone who has gained prominence after my last update"
Q1263824,"As of my last update in October 2023, there isn't a widely recognized public figure named June Richmond. It's possible that she could be a private individual, a local figure, or someone who has gained prominence after my last update"
Q2939979,"As of my last update in October 2023, there isn't a widely recognized public figure named Caroline Cave. It's possible that she could be a private individual, someone who has gained prominence more recently, or someone known in a specific"
Q7914934,"As of my last update in October 2023, there is no widely recognized public figure named ""Vanilla Yamazaki."" It's possible that the name could refer to someone who is not well-known publicly, or it might be a pseudonym"
Q16266631,"Mimi Barthélémy is a Haitian-born writer, actress, and cultural activist. She is known for her significant contributions to the preservation and promotion of Haitian culture, particularly through her work in theater and literature. Barthélémy has been instrumental"
Q4770438,"As of my last update in October 2023, Anoushey Ashraf is a prominent Pakistani journalist, television host, and social media influencer. She is known for her work in journalism and her advocacy for social issues, particularly women"
Q16001397,"Neva Abelson (1918-2017) was an American physician and researcher who made significant contributions to the field of medicine, particularly in the areas of hematology and blood banking. She is best known for her work during"
Q7409036,"As of my last update in October 2023, there isn't widely recognized public information about a person named Sambhavna Seth. It's possible that she might be a private individual, or her prominence might be in a niche field or"
Q6516347,"Leena Manimekalai is a prominent Indian filmmaker, poet, and activist. She is known for her work in documentary films, which often explore social and political issues. Manimekalai's films have garnered attention for their bold and unap"
Q2367563,"As of my last update in October 2023, there isn't a widely recognized singer named Annabelle who has gained significant global fame or recognition. It's possible that Annabelle could be a local or emerging artist, or there might be"
Q3433244,"As of my last update in October 2023, there isn't a widely recognized public figure named Rita Lafontaine. It's possible that she could be a private individual, someone who has gained prominence more recently, or someone known in"
Q6202229,"Jing Lusi is a British actress of Chinese descent. She is known for her roles in various television series and films. Some of her notable works include:

1. **""The Good Doctor""** (2017-present) - She plays Dr"
Q7647833,"As of my last update in October 2023, there isn't a widely recognized public figure named Susan Fleming. It's possible that she could be a private individual, someone with a niche or local presence, or a character in a book"
Q3059381,"Etta James (born Jamesetta Hawkins) was an American singer who had a significant impact on various genres of music, including blues, soul, R&B, rock & roll, and jazz. She was born on January 25, 1"
Q1067592,"As of my last update in October 2023, there is no widely recognized public figure or notable individual named Charmion von Wiegand. It's possible that she could be a private individual, a character in a work of fiction"
Q5102856,"As of my last update in October 2023, there isn't a widely recognized public figure named Chloe Dallimore. It's possible that she could be a private individual, someone who has gained prominence more recently, or someone known in a"
Q276058,"Hege Schøyen is a Norwegian politician and a member of the Conservative Party (Høyre). She has served in various political roles, including as a member of the Norwegian Parliament (Stortinget) representing Oslo. Schøyen has been"
Q11002027,"As of my last update in October 2023, there isn't widely recognized public information about a person named Karima Mokhtar. It's possible that she could be a private individual, someone who has gained prominence more recently, or someone"
Q517752,"As of my last update in October 2023, there isn't a widely recognized public figure named Rochelle Perts. It's possible that she could be a private individual, someone who has gained prominence after my last update, or someone known"
Q2151208,"Patricia Ariza is a prominent Colombian theater director, playwright, and activist. She is widely recognized for her significant contributions to the theater world and her advocacy for social and political causes. Ariza has been a vocal advocate for human rights, gender"
Q28053146,"Eden Ben Zaken is an Israeli singer and songwriter. She gained significant popularity through her participation in the Israeli reality singing competition ""The Voice Israel"" in 2015, where she finished as the runner-up. Ben Zaken is known"
Q4966702,"As of my last update in October 2023, there isn't a widely recognized public figure named Bridget Bevan. It's possible that she could be a private individual, someone who has gained prominence more recently, or someone known in"
Q4309509,"As of my last update in October 2023, there isn't a widely recognized public figure named Oksana Mysina in mainstream media or popular culture. It's possible that she could be a private individual, someone who has gained prominence"
Q4274752,"As of my last update in October 2023, there isn't widely recognized public information about a person named Helena Majdaniec. It's possible that she could be a private individual, a local figure, or someone who has not"
Q501870,"As of my last update in October 2023, there isn't a widely recognized public figure named Catherine Wilkin. It's possible that she could be a private individual, someone who has gained prominence after my last update, or someone known"
Q4916306,"As of my last update in October 2023, there isn't a widely recognized public figure named Birgitte Andersen. It's possible that she could be a private individual, someone who has gained prominence after my last update, or someone"
Q273893,"As of my last update in October 2023, there isn't widely recognized public information about a person named Lena Wisborg. It's possible that she could be a private individual, someone who has gained prominence more recently, or someone known"
Q3745382,"As of my last update in October 2023, there isn't widely recognized public information about a person named Filiz Vural. It's possible that she could be a private individual, someone who has gained prominence more recently, or someone"
Q6808754,"Megan Washington is an Australian singer-songwriter and pianist. She was born on July 3, 1986, in Brisbane, Queensland. Washington is known for her powerful vocals and her ability to play the piano while singing. She gained prominence"
Q111745,"As of my last update in October 2023, there is no widely recognized public figure or notable individual known by the name ""Rut Rex."" It's possible that ""Rut Rex"" could be a pseudonym, a character from a"
Q6894703,"Moira Buffini is a British playwright, screenwriter, and director. She is known for her work in both theater and television. Some of her notable works include:

1. **""Handbagged""**: A play that explores the relationship between Queen"
Q3929919,"Ramona Badescu is a Romanian-American entrepreneur and the co-founder of The Detox Market, a retail and e-commerce platform specializing in clean beauty and wellness products. The Detox Market focuses on providing non-toxic, eco-friendly, and"
Q4482111,Lidiya Fedoseyeva-Shukshina (1932-2014) was a renowned Soviet and Russian actress. She was known for her versatile performances in theater and film. Here are a few key points about her
Q4562806,"As of my last update in October 2023, there isn't widely recognized public information about an individual named Elspeth Ballantyne. It's possible that she could be a private individual, or her prominence might be in a niche"
Q274725,"Lydia Thompson was a prominent British actress and dancer, best known for her role in the burlesque theater. She was born Lydia Kemble in 1838 in England. Thompson gained fame in the 1860s and"
Q7301925,"As of my last update in October 2023, there isn't a widely recognized public figure named Rebecca Smart. It's possible that she could be a private individual, someone who has gained prominence after my last update, or someone known in"
Q7246510,"As of my last update in October 2023, there is no widely recognized public figure named Priyanka Xi. It's possible that Priyanka Xi could be a private individual, a local figure, or someone who has gained prominence"
Q4581296,"As of my last update in October 2023, there isn't a widely recognized public figure named Karin Juel. It's possible that she could be a private individual, a local figure, or someone who has gained prominence after my last"
Q289462,Seun Adigun is a Nigerian-American bobsledder and track and field athlete. She is best known for being the pilot of the first Nigerian bobsled team to compete in the Winter Olympics. Here are a few key points about her
Q2894615,"As of my last update in October 2023, there isn't widely recognized public information about a person named Bella Ouellette. It's possible that she could be a private individual, someone who has gained prominence after my last update,"
Q88218,"As of my last update in October 2023, there isn't a widely recognized public figure or well-known personality named ""Maria Emo."" It's possible that ""Maria Emo"" could refer to someone who is relatively obscure, a"
Q977042,"Janet Achurch (1864-1916) was a prominent English actress, known for her work in the late 19th and early 20th centuries. She is particularly notable for her association with the theatre"
Q286023,"As of my last update in October 2023, there isn't a widely recognized public figure named Josette Simon. It's possible that she could be a private individual, someone who has gained prominence after my last update, or someone known"
Q7405156,"As of my last update in October 2023, there isn't a widely recognized public figure named Sally Hamlin. It's possible that she could be a private individual, someone with a local or niche reputation, or a person who has"
